entity_name,latitude,longitude
West Northwest,-25.860160538625,26.889371444409
the South Cape,38.5425204,-121.7129548
California,36.374105693,-119.27023
Westerne Ocean,6.885461,79.855198
Soueraigne,42.90083,2.35444
the East Indie Schoole,26.726971,93.154459
the Cape of Bona Speranza,-34.35027,18.47909
Pistoll,13.2186422,123.485624
Kingdom,41.893693,-89.39414
Bt,27.414826827,90.426230985
LONDON,51.50740836,-0.127698693
Barlie,55.6872381,12.5855072
Chaffe,35.06664,-118.17119
Apparell,53.3409886,83.7835529
the Moste Comodius,53.391096675601,-7.702910934239
Children,27.491288,-82.587013
Prentice,45.541512,-90.288607
Comissione,56.8546675,60.6360187
butt,55.704167405,-5.28087581
Centum,44.73099,11.28716
Potash,51.995963337,1.082314217
Sr,3.931777409,-56.013607809
Assocyates,19.312146,-99.618948
Shipwrightes,50.5422441,-4.9374228
the Chickahominy River,37.23348,-76.88969
Goates,43.150998,-77.69334
James River,45.570301,-62.131431
Fraunce,53.7613921,-7.6409375
Pacomunky,37.51764,-76.79163
Payinge,55.98651,22.88422
Seale,32.298088,-85.170298
Traffique,19.1757,-100.58676
Consideračon,49.14993,-54.89815
vnpayde,NA,NA
Co'te,51.720884251,-1.489430896
Mondayes,43.074682,-89.39462
the Sumer Islands,32.30444,-64.75167
Corum,40.55275,34.95942
consideraton,38.427843,20.569898
Death,31.3420116,77.5395414
"Washington, D.C",38.8920621,-77.0199124
Henerico Ileand,NA,NA
Kickoghtan,NA,NA
Bodies,33.6521072,-84.3927078
Cattlle,50.8449847,3.6032857
Hazardous,-29.48973,17.73992
Articles,39.083367,-84.482149
Northborne the—30 Aprill,NA,NA
viij⁰,63.01667,26.45
mij⁰,37.1163905,140.93706518
vij⁰,53.6568419,10.028393
Silver Oare,32.9728974,-97.0159305
Killigrewe,47.506319,-53.003849
Gibbs,46.866963,-100.667199
Brooke,52.541048822,1.369723287
Caninge,-8.07253,15.76365
Kightley,52.823428202,-2.292110106
Swinhowe,53.448105639,-0.166309725
Peirs,50.91475,3.45206
Nova Brittania,-23.720924,-46.684976
Sr Iohn Brooks,43.4313123,-85.7425403
Mr Wrotes,50.6370566,-4.3597446
Sᵗ. Sithe's,22.4771,96.00434
Town,21.492332,-71.5310532
Secretaries,51.9922,4.2032
the Sufier Island Quarter Court,53.6122795,-8.7534311
Comittees,-33.15781,26.83259
Estates,37.295239,-121.762932
Copland,37.456315,-83.369272
Sallaries,46.87574,19.09872
Stepps,55.891983931,-4.143247793
the Iointe Stocke,45.40008,-73.975
Spayne,56.20733,22.98505
Clarke,33.9183969,-87.5779477
Lawes,-27.572122266,152.326762272
Wither,-33.36755482,115.631291053
Swayne,41.0562887,-85.1498323
Wilmer,30.823079,-88.355502
Tayloᶜ.,42.226578,-83.262638
Harvy,36.80839,-88.41782
Tatam,1.430781,128.466175
Barbor,36.17395,71.6491
Boothby,54.956903136,-2.707206005
Barboᶜ.,27.49255,81.21147
Societies,52.5001,13.3152
